県コード	都道府県	ブラック度
1	北海道	1.439974957
2	青森県	1.105146827
3	岩手県	0.851581509
4	宮城県	1.232899848
5	秋田県	0.83081571
6	山形県	1.224073444
7	福島県	0.882525986
8	茨城県	0.926167493
9	栃木県	1.173797804
10	群馬県	1.299204964
11	埼玉県	1.213299018
12	千葉県	0.788547859
13	東京都	1.540041068
14	神奈川県	1.077920528
15	新潟県	0.784190715
16	富山県	0.725323242
17	石川県	0.98400984
18	福井県	0.7788836
19	山梨県	1.185395922
20	長野県	0.889382991
21	岐阜県	0.980754996
22	静岡県	1.063301202
23	愛知県	1.018040627
24	三重県	1.24300808
25	滋賀県	1.106719368
26	京都府	1.417504533
27	大阪府	1.272701273
28	兵庫県	1.279491162
29	奈良県	1.809107923
30	和歌山県	0.995475113
31	鳥取県	0.750341064
32	島根県	0.873362445
33	岡山県	0.995934959
34	広島県	1.223990208
35	山口県	1.294052863
36	徳島県	1.301518438
37	香川県	1.040863531
38	愛媛県	0.783062645
39	高知県	1.169916435
40	福岡県	1.378579003
41	佐賀県	1.349527665
42	長崎県	1.055718475
43	熊本県	1.516180131
44	大分県	1.074185968
45	宮崎県	1.225854383
46	鹿児島県	0.82114447
47	沖縄県	0.878378378