県コード	都道府県	借家平均家賃
1	北海道	40341
2	青森県	36405
3	岩手県	36650
4	宮城県	44836
5	秋田県	37034
6	山形県	41960
7	福島県	37437
8	茨城県	45282
9	栃木県	46554
10	群馬県	42241
11	埼玉県	58608
12	千葉県	56829
13	東京都	77123
14	神奈川県	67877
15	新潟県	43595
16	富山県	43695
17	石川県	43744
18	福井県	43336
19	山梨県	42153
20	長野県	43588
21	岐阜県	43810
22	静岡県	50351
23	愛知県	50927
24	三重県	44565
25	滋賀県	47813
26	京都府	52497
27	大阪府	53610
28	兵庫県	53082
29	奈良県	46217
30	和歌山県	39749
31	鳥取県	40654
32	島根県	37820
33	岡山県	44862
34	広島県	47269
35	山口県	39039
36	徳島県	39941
37	香川県	42970
38	愛媛県	40648
39	高知県	38499
40	福岡県	46404
41	佐賀県	40707
42	長崎県	40818
43	熊本県	40464
44	大分県	39807
45	宮崎県	38461
46	鹿児島県	37643
47	沖縄県	43363